date,hour,day_of_week,day_name,month,hospital,county,department,wait_time_mins,satisfaction_score,is_weekend
2024-10-16,8,2,Wednesday,10,Mama Lucy Kibaki Hospital,Nairobi,Maternity,82,2,0
2023-05-23,14,1,Tuesday,5,Coast General Hospital,Mombasa,Outpatient,115,4,0
2024-03-08,7,4,Friday,3,Kenyatta National Hospital,Nairobi,Maternity,55,3,0
2024-06-01,12,5,Saturday,6,Coast General Hospital,Mombasa,Maternity,47,5,1
2024-10-27,13,6,Sunday,10,Moi Teaching & Referral Hospital,Eldoret,Maternity,18,5,1
2024-08-26,9,0,Monday,8,Kenyatta National Hospital,Nairobi,Maternity,167,3,0
2024-03-08,10,4,Friday,3,Pumwani Maternity Hospital,Nairobi,Maternity,180,2,0
2023-04-15,8,5,Saturday,4,Kenyatta National Hospital,Nairobi,Casualty/Emergency,31,4,1
2024-09-10,9,1,Tuesday,9,Kenyatta National Hospital,Nairobi,Pediatrics,135,3,0
2023-05-08,18,0,Monday,5,Moi Teaching & Referral Hospital,Eldoret,Outpatient,50,5,0
2023-10-28,15,5,Saturday,10,Coast General Hospital,Mombasa,Casualty/Emergency,14,4,1
2024-12-22,8,6,Sunday,12,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,10,4,1
2023-08-27,15,6,Sunday,8,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,8,5,1
2024-10-12,15,5,Saturday,10,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,6,5,1
2023-08-03,13,3,Thursday,8,Kenyatta National Hospital,Nairobi,General Surgery,75,4,0
2023-06-25,12,6,Sunday,6,Pumwani Maternity Hospital,Nairobi,Maternity,13,5,1
2024-01-24,9,2,Wednesday,1,Coast General Hospital,Mombasa,Maternity,62,4,0
2023-11-29,15,2,Wednesday,11,Kenyatta National Hospital,Nairobi,Maternity,51,3,0
2023-11-20,10,0,Monday,11,Kenyatta National Hospital,Nairobi,Maternity,115,4,0
2023-11-19,9,6,Sunday,11,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,19,5,1
2023-05-27,9,5,Saturday,5,Pumwani Maternity Hospital,Nairobi,General Surgery,155,3,1
2023-09-27,14,2,Wednesday,9,Moi Teaching & Referral Hospital,Eldoret,General Surgery,107,3,0
2024-01-06,9,5,Saturday,1,Pumwani Maternity Hospital,Nairobi,General Surgery,110,3,1
2023-04-04,14,1,Tuesday,4,Kenyatta National Hospital,Nairobi,Maternity,46,5,0
2023-06-13,14,1,Tuesday,6,Moi Teaching & Referral Hospital,Eldoret,General Surgery,134,1,0
2024-01-30,10,1,Tuesday,1,Moi Teaching & Referral Hospital,Eldoret,General Surgery,229,2,0
2024-07-20,15,5,Saturday,7,Kenyatta National Hospital,Nairobi,Outpatient,27,5,1
2024-10-18,10,4,Friday,10,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,176,1,0
2024-04-09,6,1,Tuesday,4,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,30,3,0
2024-06-03,16,0,Monday,6,Mama Lucy Kibaki Hospital,Nairobi,General Surgery,131,3,0
2023-07-23,8,6,Sunday,7,Pumwani Maternity Hospital,Nairobi,General Surgery,35,5,1
2023-01-01,12,6,Sunday,1,Moi Teaching & Referral Hospital,Eldoret,Outpatient,37,3,1
2024-01-07,16,6,Sunday,1,Mama Lucy Kibaki Hospital,Nairobi,Maternity,10,4,1
2023-09-04,16,0,Monday,9,Kenyatta National Hospital,Nairobi,Outpatient,73,4,0
2024-05-12,15,6,Sunday,5,Coast General Hospital,Mombasa,Maternity,17,4,1
2024-11-06,11,2,Wednesday,11,Coast General Hospital,Mombasa,Maternity,41,4,0
2024-06-24,16,0,Monday,6,Moi Teaching & Referral Hospital,Eldoret,Maternity,76,4,0
2024-12-07,9,5,Saturday,12,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,27,5,1
2024-03-24,16,6,Sunday,3,Moi Teaching & Referral Hospital,Eldoret,Outpatient,20,4,1
2023-08-19,8,5,Saturday,8,Kenyatta National Hospital,Nairobi,General Surgery,91,4,1
2023-08-24,12,3,Thursday,8,Kenyatta National Hospital,Nairobi,Outpatient,118,4,0
2024-10-08,7,1,Tuesday,10,Kenyatta National Hospital,Nairobi,Outpatient,63,3,0
2023-03-14,11,1,Tuesday,3,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,109,2,0
2024-07-06,8,5,Saturday,7,Coast General Hospital,Mombasa,General Surgery,78,3,1
2023-09-06,14,2,Wednesday,9,Moi Teaching & Referral Hospital,Eldoret,Maternity,32,3,0
2023-04-10,13,0,Monday,4,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,127,2,0
2024-04-23,15,1,Tuesday,4,Kenyatta National Hospital,Nairobi,Outpatient,84,2,0
2024-02-17,14,5,Saturday,2,Kenyatta National Hospital,Nairobi,Maternity,45,3,1
2023-07-14,12,4,Friday,7,Pumwani Maternity Hospital,Nairobi,Pediatrics,119,2,0
2023-10-13,11,4,Friday,10,Kenyatta National Hospital,Nairobi,Pediatrics,61,4,0
2023-04-11,7,1,Tuesday,4,Coast General Hospital,Mombasa,Outpatient,66,2,0
2023-08-31,8,3,Thursday,8,Moi Teaching & Referral Hospital,Eldoret,Pediatrics,95,2,0
2024-02-15,16,3,Thursday,2,Pumwani Maternity Hospital,Nairobi,Pediatrics,43,3,0
2024-02-04,9,6,Sunday,2,Moi Teaching & Referral Hospital,Eldoret,Casualty/Emergency,18,5,1
2024-12-14,17,5,Saturday,12,Coast General Hospital,Mombasa,Pediatrics,24,4,1
2023-07-14,9,4,Friday,7,Kenyatta National Hospital,Nairobi,General Surgery,300,3,0
2024-07-09,8,1,Tuesday,7,Mama Lucy Kibaki Hospital,Nairobi,Outpatient,113,2,0
2024-08-21,11,2,Wednesday,8,Coast General Hospital,Mombasa,Maternity,58,3,0
2024-06-04,8,1,Tuesday,6,Pumwani Maternity Hospital,Nairobi,Outpatient,166,3,0
2023-03-11,13,5,Saturday,3,Pumwani Maternity Hospital,Nairobi,Pediatrics,62,2,1
2024-08-06,9,1,Tuesday,8,Coast General Hospital,Mombasa,Outpatient,161,3,0
2023-03-25,10,5,Saturday,3,Coast General Hospital,Mombasa,General Surgery,89,4,1
2023-11-20,17,0,Monday,11,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,19,4,0
2023-09-29,10,4,Friday,9,Mama Lucy Kibaki Hospital,Nairobi,Pediatrics,101,3,0
2023-03-16,6,3,Thursday,3,Coast General Hospital,Mombasa,General Surgery,32,3,0
2023-03-17,12,4,Friday,3,Coast General Hospital,Mombasa,Casualty/Emergency,70,2,0
2023-12-24,16,6,Sunday,12,Pumwani Maternity Hospital,Nairobi,Casualty/Emergency,6,5,1
2023-06-11,11,6,Sunday,6,Coast General Hospital,Mombasa,Casualty/Emergency,14,4,1
